length,highway,name
101.6362817436629,residential,South Throop Street
202.575466570324,residential,West 110th Street
202.73660516039743,residential,West 110th Street
102.08132813501773,residential,South Throop Street
101.10268471544832,residential,South Throop Street
202.8247521209821,residential,West 110th Place
202.5010449737827,residential,West 110th Place
100.13478355403161,residential,South Throop Street
102.08132813501774,residential,South Throop Street
101.04161122776772,residential,South Throop Street
100.13478355403161,residential,South Throop Street
202.91550659058362,secondary,West 111th Street
202.42553245936443,secondary,West 111th Street
114.20013834064763,residential,South Throop Street
202.61398478233173,residential,West 112th Street
101.41316093700948,residential,West 112th Place
202.43805512372774,residential,West 112th Place
100.75909427075707,residential,West 113th Place
100.9851621342312,residential,West 114th Place
193.90587628787438,residential,South Throop Street
36.30052536685443,residential,South Peoria Cul de Sac
291.618270019728,residential,South Peoria Street
83.93459603185221,residential,South Peoria Street
36.30052536685443,residential,South Peoria Cul de Sac
182.25449382309074,residential,West 114th Street
111.62767644240978,residential,South Oakley Avenue
193.01874313957748,residential,South Oakley Avenue
182.2544938230907,residential,West 114th Street
30.23087331629097,secondary,South Western Avenue
173.57758713910434,secondary,South Western Avenue
53.810599846837164,secondary,South Western Avenue
104.91269736021842,residential,West 114th Street
30.23087331629097,secondary,South Western Avenue
99.7302569923313,residential,West 114th Street
104.91269736021842,residential,West 114th Street
157.9827006404536,residential,South Artesian Avenue
102.3200497408041,residential,West 114th Street
99.7302569923313,residential,West 114th Street
203.8776864975121,residential,South Campbell Avenue
238.58489109897073,residential,"['West 114th Street', 'South Rockwell Street']"
102.32004974080411,residential,West 114th Street
201.57900908054427,residential,South Maplewood Avenue
86.48166332350864,residential,West 114th Street
203.17570812819358,residential,South Rockwell Street
201.8612023043946,residential,South Talman Avenue
102.67489091530928,residential,West 114th Street
86.48166332350864,residential,West 114th Street
101.33965550386785,residential,West 114th Street
102.67489091530928,residential,West 114th Street
203.93672666468564,residential,South Fairfield Avenue
101.33965550386785,residential,West 114th Street
193.67339644033927,residential,South Morgan Street
15.738946126651303,residential,South Morgan Street
93.98179398272502,residential,West 114th Street
102.17308113264139,residential,South Sangamon Street
101.02627757724252,tertiary,West 107th Street
101.31697294824616,tertiary,West 107th Street
83.93459603185221,residential,South Peoria Street
101.31389636637576,residential,South Sangamon Street
102.17308113264139,residential,South Sangamon Street
100.49935397613133,residential,West 108th Street
202.89817249409114,residential,South Sangamon Street
101.31389636637576,residential,South Sangamon Street
100.87495607868357,residential,West 109th Place
189.2659845608919,residential,South Sangamon Street
98.61048286993736,residential,South Sangamon Street
87.96983281341724,residential,South Sangamon Street
35.13136362048815,residential,South Sangamon Street
189.26598456089187,residential,South Sangamon Street
102.36450142082809,residential,South Peoria Street
87.96983281341724,residential,South Sangamon Street
100.08580808784708,residential,South Peoria Street
50.94592858483069,residential,South Sangamon Street
202.74749990974647,residential,South Sangamon Street
101.28728559217654,secondary,West 111th Street
100.25748674034757,secondary,West 111th Street
50.94592858483069,residential,South Sangamon Street
148.4465827993848,residential,South Sangamon Street
202.74749990974644,residential,South Sangamon Street
99.75626667933966,residential,West 112th Street
100.95268680357871,residential,West 112th Place
50.028475412646216,residential,West 112th Place
200.26064707496477,residential,South Carpenter Street
100.9319459259998,residential,West 113th Place
193.6981496082817,residential,South Carpenter Street
102.01478172709727,residential,West 114th Place
203.11525927446675,residential,South Talman Avenue
102.76608181800326,residential,West 108th Street
294.49117795404504,residential,"['West 108th Street', 'South Rockwell Street']"
102.19062489399525,residential,West 110th Street
89.75129536343114,residential,West 110th Street
203.3784835875764,residential,South Talman Avenue
203.12740825334214,residential,South Talman Avenue
203.37848358757637,residential,South Talman Avenue
102.06829817036666,secondary,West 111th Street
114.97336316913157,secondary,West 111th Street
101.64255497810393,residential,West 112th Street
89.43448336063358,residential,West 112th Street
201.67083009679104,residential,South Talman Avenue
202.11753169660136,residential,South Talman Avenue
101.77052524793525,residential,West 113th Street
88.37519565248303,residential,West 113th Street
59.34667067302596,residential,West 108th Place
124.74079114005028,residential,West 108th Place
136.16779504817916,residential,South Hermosa Avenue
172.7043274965423,residential,South Esmond Street
263.2291546347913,residential,South Esmond Street
79.00646840039242,residential,West Pryor Avenue
57.967206989190586,residential,West Pryor Avenue
38.84721055927649,residential,West Pryor Avenue
31.74086806400601,residential,South Homewood Avenue
183.84283549969396,residential,South Homewood Avenue
247.3484080636358,residential,South Prospect Avenue
221.25586580138855,residential,South Hale Avenue
15.685393097759675,residential,South Prospect Avenue
110.96212981689915,residential,West Pryor Avenue
69.98684448735563,residential,West Pryor Avenue
114.90496282458781,residential,West Pryor Avenue
69.98684448735563,residential,West Pryor Avenue
168.01439708400935,residential,South Ashland Avenue
114.90496282458781,residential,West Pryor Avenue
144.88800038189433,secondary,South Vincennes Avenue
106.38445944876645,secondary,South Vincennes Avenue
3.024088941099844,tertiary,West 119th Street
