x,y
-87.6838337,41.6972554
-87.685045,41.6972378
-87.6861067,41.6972258
-87.688728,41.6971912
-87.6899517,41.6971742
-87.6474078,41.6977555
-87.6509111,41.6977123
-87.6522758,41.697696
-87.6426055,41.6978159
-87.6443245,41.6977995
-87.6667899,41.6966119
-87.6667302,41.6954161
-87.6652699,41.69389
-87.6664316,41.6847301
-87.659278,41.693052
-87.6586301,41.6930629
-87.6521318,41.6931449
-87.6486237,41.6931904
-87.6472649,41.6932028
-87.6715336,41.693116
-87.674353,41.6930649
-87.6775364,41.6930072
-87.6811921,41.69293
-87.6836859,41.6926909
-87.6859565,41.6926661
-87.642492,41.6941799
-87.6424404,41.6923565
-87.6833945,41.6845003
-87.6833375,41.6827041
-87.683165,41.6772708
-87.6837394,41.6945173
-87.6837162,41.6936143
-87.6836557,41.6917717
-87.6835417,41.6881437
-87.6845928,41.6835854
-87.6856484,41.6835698
-87.6757396,41.6842776
-87.6764701,41.6842108
-87.6739855,41.6973314
-87.6740721,41.6967351
-87.6741679,41.6940893
-87.6740311,41.6918994
-87.6631723,41.6966728
-87.664142,41.6954758
-87.6682038,41.6892113
-87.6691641,41.6875296
-87.6705533,41.685097
-87.6677546,41.6948611
-87.6699688,41.6897674
-87.6702238,41.6878414
-87.6706082,41.6846499
-87.6703415,41.684655
-87.6766768,41.6883033
-87.6789398,41.6882717
-87.6446992,41.6886925
-87.6810448,41.6881778
-87.6823317,41.6881602
-87.6847636,41.688127
-87.6861299,41.6881084
-87.6884196,41.6880877
-87.6896442,41.6880767
-87.6824964,41.6936313
-87.6824378,41.6917858
-87.6821979,41.684929
-87.682168,41.6845167
-87.6821108,41.6827227
-87.6653693,41.6863035
-87.6673306,41.6830827
-87.6705363,41.6773851
-87.6719225,41.6919343
-87.6725732,41.6880107
-87.6734219,41.6846253
-87.6738148,41.6836137
-87.6741193,41.682877
-87.6747535,41.6802863
-87.6715975,41.6963858
-87.671594,41.6954753
-87.6715738,41.6944148
-87.6715551,41.6924921
-87.6766444,41.6847351
-87.6755253,41.6855134
-87.6760852,41.6850259
-87.6765117,41.6847646
-87.6761241,41.6846307
-87.6523242,41.6995294
-87.652247,41.6967859
-87.6522411,41.6966001
